id	duration	bitrate	bitrate(video)	height	width	frame rate	frame rate(est.)	codec	category	url
WCgt-AactyY	31	78	52	176	144	12	12	mpeg4	People & Blogs	http://r1---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?itag=17&key=yt1&source=youtube&mv=m&id=58282df8069cb726&ip=86.50.94.176&burst=40&algorithm=throttle-factor&upn=Gv-ALFhUfcU&cp=U0hWTFlLV19JUENONl9RRUFCOjJiMExXU21EUGR1&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&sver=3&ms=au&expire=1377909146&fexp=926404%2C901061%2C916623%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C927704%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mt=1377888632&factor=1.25&ipbits=8&signature=AF0789A5292641A2E8E9C3B84279F9FA6AE324D2.4CF599D82AB06E9635191E7E4865C3149B34F2C5&ratebypass=yes
h9Kt-GhvVlg	333	727	638	384	288	25	0	h264	People & Blogs	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?fexp=900359%2C910095%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C927704%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mv=m&expire=1377909300&cp=U0hWTFlLV19FSkNONl9RRUFEOjVUdVNvcUN1b3N5&sver=3&mt=1377888632&id=87d2adf8686f5658&itag=34&burst=40&ms=au&source=youtube&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&ipbits=8&factor=1.25&ip=86.50.94.176&key=yt1&algorithm=throttle-factor&upn=tMFF_bU8-a0&signature=85B73C4BD0D44F9083F3CA4EAA67ED13011C01D6.663BFF058934B536914874D915BDCFFBA5A34519&ratebypass=yes
h9Kt-GhvVlg	333	668	567	384	288	25	25	h264	People & Blogs	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?fexp=900359%2C910095%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C927704%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&expire=1377909300&cp=U0hWTFlLV19FSkNONl9RRUFEOjVUdVNvcUN1b3N5&sver=3&mt=1377888632&itag=18&id=87d2adf8686f5658&ms=au&source=youtube&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&ipbits=8&ratebypass=yes&ip=86.50.94.176&key=yt1&mv=m&upn=tMFF_bU8-a0&signature=2D5FC13958915AEFB966F441424041F531D0572A.9BDC1F9848BA3F5EFE69C4A9AAF550B2FFC34306
h9Kt-GhvVlg	333	306	246	320	240	25	25	flv1	People & Blogs	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?fexp=900359%2C910095%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C927704%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mv=m&expire=1377909300&cp=U0hWTFlLV19FSkNONl9RRUFEOjVUdVNvcUN1b3N5&sver=3&mt=1377888632&id=87d2adf8686f5658&itag=5&burst=40&ms=au&source=youtube&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&ipbits=8&factor=1.25&ip=86.50.94.176&key=yt1&algorithm=throttle-factor&upn=tMFF_bU8-a0&signature=92F1D0939DE3A6FE0D563F83A61DF52DB3757524.D3E53768358FAD6F12B8B75558339AB01BCD8671&ratebypass=yes
h9Kt-GhvVlg	333	91	54	176	144	12	12	mpeg4	People & Blogs	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?fexp=900359%2C910095%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C927704%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mv=m&expire=1377909300&cp=U0hWTFlLV19FSkNONl9RRUFEOjVUdVNvcUN1b3N5&sver=3&mt=1377888632&id=87d2adf8686f5658&itag=17&burst=40&ms=au&source=youtube&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&ipbits=8&factor=1.25&ip=86.50.94.176&key=yt1&algorithm=throttle-factor&upn=tMFF_bU8-a0&signature=3FB18946D3CD8F4AA627B3DA35B38ADFF5E54508.8CEDE4075851E443F53CB75D2909172CAABBF479&ratebypass=yes
Wscj-i5jTjc	67	633	522	854	480	29.92	0	h264	Nonprofits & Activis	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&ms=au&ipbits=8&source=youtube&algorithm=throttle-factor&burst=40&mv=m&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mt=1377888632&upn=a-TUDF8iLHA&factor=1.25&id=5ac723fa2e634e37&itag=35&fexp=916606%2C932200%2C930102%2C904499%2C916611%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C932211%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C939903%2C900375%2C906001&sver=3&expire=1377912341&cp=U0hWTFlMUF9JS0NONl9RRlREOjgwZUlWdElqQTlw&signature=70BE33BCBCA080C39BAAA37854CF22C5212A1352.49C280F982654FAB70AD372647DFE99C6BAAB870&ratebypass=yes
Wscj-i5jTjc	67	437	320	640	360	29.92	0	h264	Nonprofits & Activis	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&ms=au&ipbits=8&source=youtube&algorithm=throttle-factor&burst=40&mv=m&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mt=1377888632&upn=a-TUDF8iLHA&factor=1.25&id=5ac723fa2e634e37&itag=34&fexp=916606%2C932200%2C930102%2C904499%2C916611%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C932211%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C939903%2C900375%2C906001&sver=3&expire=1377912341&cp=U0hWTFlMUF9JS0NONl9RRlREOjgwZUlWdElqQTlw&signature=B717696C13DCBD8B9B3ABDAB0E981E86D2E7814B.2868310A6404236462971BD3A5424C368F19E935&ratebypass=yes
Wscj-i5jTjc	67	486	394	640	360	29.92	29.97	h264	Nonprofits & Activis	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&ms=au&ratebypass=yes&ipbits=8&source=youtube&mv=m&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&mt=1377888632&upn=a-TUDF8iLHA&cp=U0hWTFlMUF9JS0NONl9RRlREOjgwZUlWdElqQTlw&id=5ac723fa2e634e37&itag=18&fexp=916606%2C932200%2C930102%2C904499%2C916611%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C932211%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C939903%2C900375%2C906001&sver=3&expire=1377912341&signature=69D0E26C49172F302E74E9D11F5FE7E19C86E856.71A49195ECE7D0A0AA19FAB1202AF76FBE3A2063
Wscj-i5jTjc	67	515	394	640	360	29.97	29.97	vp8	Nonprofits & Activis	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&ms=au&ratebypass=yes&ipbits=8&source=youtube&mv=m&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&mt=1377888632&upn=a-TUDF8iLHA&cp=U0hWTFlMUF9JS0NONl9RRlREOjgwZUlWdElqQTlw&id=5ac723fa2e634e37&itag=43&fexp=916606%2C932200%2C930102%2C904499%2C916611%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C932211%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C939903%2C900375%2C906001&sver=3&expire=1377912341&signature=388698978786D63FD923420DA9E9A9830AAD8D87.C4A193EDD06B970BEE4EF736CD8F366255EE183B
Wscj-i5jTjc	67	302	246	400	224	29.92	29.97	flv1	Nonprofits & Activis	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&ms=au&ipbits=8&source=youtube&algorithm=throttle-factor&burst=40&mv=m&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mt=1377888632&upn=a-TUDF8iLHA&factor=1.25&id=5ac723fa2e634e37&itag=5&fexp=916606%2C932200%2C930102%2C904499%2C916611%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C932211%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C939903%2C900375%2C906001&sver=3&expire=1377912341&cp=U0hWTFlMUF9JS0NONl9RRlREOjgwZUlWdElqQTlw&signature=A0E47568970D857E00F29BAA31E927A91090E118.B211905C885DED121FB5936C278D1A19BBCF14E3&ratebypass=yes
Wscj-i5jTjc	67	82	53	176	144	12	11.34	mpeg4	Nonprofits & Activis	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&ms=au&ipbits=8&source=youtube&algorithm=throttle-factor&burst=40&mv=m&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mt=1377888632&upn=a-TUDF8iLHA&factor=1.25&id=5ac723fa2e634e37&itag=17&fexp=916606%2C932200%2C930102%2C904499%2C916611%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C932211%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C939903%2C900375%2C906001&sver=3&expire=1377912341&cp=U0hWTFlMUF9JS0NONl9RRlREOjgwZUlWdElqQTlw&signature=9671BA1BA96C9AB3E0A196B61A6F22C30C5ACA60.4E3BD2844705923B0DD522813D77CA85487ADA26&ratebypass=yes
dtMj-hglvaI	1000	2862	2703	1280	720	29.97	29.97	h264	Sports	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?upn=YrLyXvzomxc&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&cp=U0hWTFlLV19NSkNONl9RRUFHOmZEODktbTZxc3Zz&id=76d323fa1825bda2&ip=86.50.94.176&mt=1377888632&mv=m&sver=3&ms=au&fexp=916904%2C925005%2C932217%2C930102%2C921723%2C916626%2C936204%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&source=youtube&key=yt1&itag=22&ratebypass=yes&ipbits=8&expire=1377909680&signature=95E0F875476E58DE9D04594FBD2DC81A9AD3C6D3.81D0F9286CD9315D1EB2F509333BBB4B834ED90C
dtMj-hglvaI	1000	2774	2703	1280	720	29.97	29.97	vp8	Sports	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?upn=YrLyXvzomxc&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&cp=U0hWTFlLV19NSkNONl9RRUFHOmZEODktbTZxc3Zz&id=76d323fa1825bda2&ip=86.50.94.176&mt=1377888632&mv=m&sver=3&ms=au&fexp=916904%2C925005%2C932217%2C930102%2C921723%2C916626%2C936204%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&source=youtube&key=yt1&itag=45&ratebypass=yes&ipbits=8&expire=1377909680&signature=D6571512D5D019653152A124B19661D408E06060.B8347AA03B00ED21FD669EFB3AA0D7F1B72D2435
dtMj-hglvaI	1000	1174	1062	854	480	29.97	29.97	h264	Sports	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&factor=1.25&id=76d323fa1825bda2&algorithm=throttle-factor&ip=86.50.94.176&mt=1377888632&cp=U0hWTFlLV19NSkNONl9RRUFHOmZEODktbTZxc3Zz&mv=m&sver=3&fexp=916904%2C925005%2C932217%2C930102%2C921723%2C916626%2C936204%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&source=youtube&key=yt1&itag=35&ms=au&burst=40&upn=YrLyXvzomxc&ipbits=8&expire=1377909680&signature=6BBB38260072A4DF705BE22E18AEB32FD9A99F55.86B5049ABE7027C13269A1761744C0FB969A1427&ratebypass=yes
